id,key,summary
546928,UNBO-4080,Review custom command code auth cms
546915,UNBO-4079,Secure Netlify Origin
546914,UNBO-4078,WHAM - 2024
546865,UNBO-4077,Make use of vitest workspaces over a separate file per package
546804,UNBO-4076,Investis feeds blocked if cookies aren't accepted
546748,UNBO-4075,QA metrics - write python script to fetch all Jira issues
546664,UNBO-4074,WIOP Brand Page does not allow any sorting/pagination
546645,UNBO-4072,enhance sitemap to add last modified date
546630,UNBO-4071,Update contact us form to remove Elida
546580,UNBO-4070,DORA meteics - Jira to excel data load task needs to configured via ci workflow
545854,UNBO-4069,Investigate ci workflow axe linter failing
545606,UNBO-4068,Move WHAM service from terraform to Pulumi
545595,UNBO-4067,Provide Sanity Access
545571,UNBO-4066,Update CMDB with the decommissioned Korea english site
545570,UNBO-4065,Update the monitoring to remove the Korea english site
545569,UNBO-4064,Remove korea english domain from the DNS
545568,UNBO-4063,Remove Korea English site from Netlify
545567,UNBO-4062,Add redirect to Akamai to redirect Korean english to Korean site  
545458,UNBO-4061,Content Syndication: Implementing tracking of global articles shared with markets
545420,UNBO-4059,Provide the ability to remove passwords from the login
545287,UNBO-4058,Create SSO integration for all Dev and QA sites on UOL platform
545283,UNBO-4057,Redesign resolve-percy-tokens.ts to ensure no need to hardcode PUBLICATION_UNDER_TEST keys
545148,UNBO-4056,Enable Nepal as Brands = true in test data json
545145,UNBO-4055,Create Percy comparisons for Open Search vs Azure - Language = English
545143,UNBO-4054,ADR_20255-8: Unordered list not marked up semantically
545142,UNBO-4053,ADR_20255-34: Multiple page regions without accessible name
545140,UNBO-4052,ADR_20255-28: Current in-page link is not programmatically identified
545139,UNBO-4051,ADR_20255-16: Interactive elements with no accessible name
545138,UNBO-4050,ADR_20255-14: Incorrect use of aria-haspopup on expandable element
545137,UNBO-4049,ADR_20255-13 Missing or malformed ARIA on select-only combobox
545135,UNBO-4048,ADR_20255-10: Current page is not programmatically identified
545133,UNBO-4047,ADR_20255-25: Focused element is completely hidden by author-created content
545108,UNBO-4046,ADR_20255-24: Non-interactive elements receive keyboard focus
545107,UNBO-4045,ADR_20255-12: Focus does not remain on activated element when using a screen reader
545106,UNBO-4044,ADR_20255-27: Same page link does not move focus when activated
545105,UNBO-4043,ADR_20255-4: Content is not hoverable
545102,UNBO-4042,ADR_20255-3: Content triggered by mouse hover or keyboard focus is not dismissable
545101,UNBO-4041,Provide Sanity access
545100,UNBO-4040,ADR_20255-22: Text spacing is not fully supported
545099,UNBO-4039,ADR_20255-32: Interactive element fails contrast when receiving mouse hover
545097,UNBO-4037,ADR_20255-31: Informative non-text content fails contrast
545096,UNBO-4036,ADR_20255-29: Custom focus indication fails contrast
545095,UNBO-4035,WIOP brand products show when the brand is not present
545093,UNBO-4034,ADR_20255-37: Reflow causes loss of content and functionality
545083,UNBO-4028,ADR_20255-1: Reflow causes loss of content
545082,UNBO-4027,ADR_20255-36: Zoom causes loss of meaningful content and functionality
545075,UNBO-4026,ADR_20255-2: Colour relied upon to communicate information
544957,UNBO-4020,Palm Oil small screen size shows map as transparent when a feature-content scroll past
544902,UNBO-4019,Decommission Korea English language website
544811,UNBO-4018,Accessibility - Ensure elements that have scrollable content are accessible by keyboard
544809,UNBO-4017,Accessibility - Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds Help
544807,UNBO-4016,Accessibility - Ensures links have discernible text
544800,UNBO-4015,Accessibility - Ensures aria-hidden elements are not focusable nor contain focusable elements
544796,UNBO-4014,Dora metrics - add values for all 'Ready for release date' since 1st Jan
544787,UNBO-4013,Create confluence page for Azure search test terms
544772,UNBO-4012,Roll out OneTrust in https://www.unilever.com.bd
544759,UNBO-4005,ADR_20255-15: Instructions rely on visual sensory characteristics
544757,UNBO-4004,ADR_20255-20: Reading order includes off-screen elements
544755,UNBO-4003,ADR_20255-18: Content inappropriately hidden which breaks reading order
544753,UNBO-4002,ADR_20255-7: Background elements can be accessed with a screen reader
544751,UNBO-4001,ADR_20255-23: Heading structure is inconsistent with the visual structure
544750,UNBO-4000,ADR_20255-19: Radio group not associated with legend
544743,UNBO-3999,ADR_20255-26: Decorative image has redundant text alternative (Palm story)
544729,UNBO-3998,ADR_20255-21: Map images have inappropriate text alternative
544643,UNBO-3997,ADR_20255-17: Decorative image has redundant text alternative 
544639,UNBO-3996,ADR_20255-9: Decorative image has redundant text alternative
544635,UNBO-3995,AbilityNet: Navigation and deforestation
544617,UNBO-3994,test raising a bug
544616,UNBO-3993,ADR_20255-33: Keyboard focus is trapped
544343,UNBO-3991,Upgrade the version of opensearch
544328,UNBO-3990,The AWS deploy actions are failing a deploy
544172,UNBO-3989,Rollout Onetrust on https://accessibilityhub.unilever.com
544171,UNBO-3988,Rollout Onetrust on https://playbook.unilever.com
544170,UNBO-3987,Rollout Onetrust on https://www.unileverconsumercarebd.com
544169,UNBO-3986,Rollout Onetrust on http://unileverconsumercarebd.com/bn
544168,UNBO-3985,Rollout Onetrust on https://www.unilevermaghreb.com
544167,UNBO-3984,Rollout Onetrust on https://www.unilever.co.kr
544166,UNBO-3983,Rollout Onetrust on https://www.unilever.com.lk
544165,UNBO-3982,Rollout Onetrust on https://www.unilever.com.sg
544164,UNBO-3981,Rollout Onetrust on https://www.unilever.com.au
544163,UNBO-3980,Rollout Onetrust on https://www.unilever.com.ph
544162,UNBO-3979,Rollout Onetrust on https://www.unilever-southlatam.com
544161,UNBO-3978,Rollout Onetrust on https://www.unilever-northlatam.com
544160,UNBO-3977,Rollout Onetrust on https://www.unilever.com.cn
544159,UNBO-3976,Rollout Onetrust on https://www.unilever.co.il
544158,UNBO-3975,Rollout Onetrust on https://www.unilever.pk
544157,UNBO-3974,Rollout Onetrust on https://www.unilever-ewa.com
544156,UNBO-3973,Rollout Onetrust on https://www.unilever.ca
544155,UNBO-3972,Rollout Onetrust on https://www.unilever.ca/fr
544154,UNBO-3971,Rollout Onetrust on https://www.unilever-caribbean.com/
544153,UNBO-3970,Rollout Onetrust on https://www.unilevernepal.com
544057,UNBO-3969,Investis feeds aren't working for some users
543946,UNBO-3968,Twitter Icon in brand profiles
543899,UNBO-3967,Investigate the downtime of www.unilever.com.tr
543873,UNBO-3966,Update Navigation metric slide + investigate negative change in metrics
543828,UNBO-3965,wiop.unilever.com cookies dropping
543821,UNBO-3964,Add new relic coverage for adchoice and cookie q banners
543815,UNBO-3963,Possible to reduce duplication in pre prod smoke tests for Contact US (UK & U.com)
543802,UNBO-3962,Update the monitoring to remove the Kazakh site
543801,UNBO-3961,Update CMDB with the decommissioned Kazakh site
543800,UNBO-3960,Remove domains from the DNS
543799,UNBO-3959,Remove both Kazakh sites from Netlify
543798,UNBO-3958,Add redirect to Akamai to redirect Kazakhstan to Unilever.com
543781,UNBO-3957,For unilever-com-wiop fix auth of QA and Stage sites
543663,UNBO-3956,Review Pulumi instead of Terraform
543567,UNBO-3955,Axe POC - Wire up Dev Hubs 'Axe Watcher' to uol automation framework
543543,UNBO-3954,Review distilled sites results - 2024-06-01
543521,UNBO-3953,Review Panel items link test
543332,UNBO-3952,Enable Akamai logging for all sites
543331,UNBO-3951,Enable Netlify logs
543308,UNBO-3950,Disable Sanity Backup
